Ai studiat anterior no?iuni de statistic? sau analiz? a datelor?,Ce not? ai ob?inut la cursul de Probabilit??i ?i Statistic? Matematic? (anul 1)?,Ce not? ai ob?inut la cursul de Statistic? Economic? (anul 2)?,Ce profil ai avut în liceu?,În prezent:,Cum apreciezi nivelul t?u actual de interes fa?? de analiza datelor?,Cât de dificil crezi c? va fi acest curs?,Ai inten?ia s? studiezi mai departe analiza datelor dup? acest curs?,?i-ar pl?cea s? lucrezi în domeniul statisticii sau analizei datelor dup? terminarea studiilor?,Cât timp ai disponibil pe s?pt?mân? pentru a studia acest curs?,Ce te motiveaz? s? participi la acest curs?,"Cum consideri c? ai nevoie de suport suplimentar pentru a în?elege conceptele statistice?

(Exemple de ajutor suplimentar: explica?ii suplimentare din partea profesorului, resurse online, exemple practice, tutoriale video, ?edin?e de clarificare etc.)",Ce tip de resurse ?i-ar fi cele mai utile pentru a înv??a statistica?,Care este principalul t?u obiectiv legat de acest curs?,Cuno?ti deja profesorul/profesorii acestui curs dintr-o experien?? anterioar??,"Dac? ai avut cursuri cu profesorul/profesorii, cum ai descrie experien?a anterioar??",Cât de confortabil te sim?i s? interac?ionezi cu profesorul/profesorii acestui curs?,"Pân? acum, ai adresat vreodat? întreb?ri sau ai cerut clarific?ri profesorilor de statistic??",Cum preferi s? înve?i?,Cum ?i-ai descrie nivelul de confort în a lucra cu date ?i cifre?,Ce metode de evaluare preferi?,În ce m?sur? te sim?i confortabil lucrând cu R/RStudio?,Care este nivelul t?u de experien?? în utilizarea R/RStudio?,Ai nevoie de resurse suplimentare pentru a înv??a s? folose?ti R/RStudio?,Timestamp.y,Am citit ?i sunt de acord s? continui.y,"Programul de studii (codul din orar, exemplu CE3):.y",st1,st2,st3,st4,st5,st6,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,crt1,crt2,crt3,crt4,crt5,crt6,crt7,crt8,crt9,crt10,crt11,crt12,crt13,crt14,crt15,crt16,crt17,crt18,crt19,crt20,crt21,crt22,crt23,crt24,crt25,crt26,crt27,crt29,crt30,crt31,crt32,crt35,crt36,crt37,Timestamp,Am citit ?i sunt de acord s? continui,crt40,crt41,crt42,crt43,crt44,crt45,crt46,crt47,crt48,crt49,crt50,crt51,crt52,crt53,crt54,crt55,crt56,crt57,crt58,crt59,crt60,crt61,crt62,crt63,crt64,crt65,crt66,crt67,crt68,crt69,crt70,crt71,crt72,crt73,crt74,crt76,crt77,crt78,crt79,crt80,control3,crt81,crt82,crt83,crt84,crt85,crt86,crt87,crt88,crt89,crt90,crt91,crt92,crt93,crt94,crt95,crt96,crt97,crt98,crt99,crt100,crt101,crt102,crt103,crt105,crt106,crt107,crt109,crt110,control4,crt111,crt112,crt113,crt114,crt115,crt116,crt117,crt118,crt119,crt120,crt121,crt122,crt123,SATS,CRT,CRT_extins,Gambler,Conjunction,Covariation,sylogistic,Numeracy,SATS2,SATS3,SATS4,SATS5,SATS6,SATS7,SATS8,SATS9,SATS10,SATS11
"Da, într-un curs avansat",6,7,Filologie,Lucrez într-un alt domeniu,5,5,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Exemple practice ?i studii de caz,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Teste gril?,3,Nu am folosit niciodat? R/Rstudio,"Da, exemple practice pas cu pas",2025/03/07 13:53:56,Da,CE3,3,6,6,1,2,7,7,7,1,7,1,6,5,7,4,1,7,1,6,7,7,7,5,2,7,7,7,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,5,1,1,3,4,1,3,2,1,1,1,2025/03/10 14:15:45,Da,5,5,5,4,2,1,5,4,5,1,1,5,5,4,4,5,5,5,1,5,5,5,5,5,5,5,5,6,2,4,5,1,2,1,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,3,5,1,7,7,7,7,7,7,7,7,7,4,7,7,5,5,7,7,7,7,7,7,7,7,7,3.464285714,0,0,1,1,0,2,5,2.625,1.875,4.1,1.157894737,4,3.333333333,7.333333333,4.733333333,3,1.826086957
"Da, dar doar elemente de baz?",6,8,Matematic?-informatic?,Lucrez într-un alt domeniu,2,5,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Vreau s? îmi dezvolt abilit??i analitice,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Nu, este prima dat? când interac?ionez cu acest profesor/acest? echip?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,5,Proiecte practice,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 12:50:30,Da,CE3,4,6,2,2,1,5,4,1,1,2,2,4,3,4,5,6,5,3,3,4,5,5,4,2,6,2,7,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,2,5,5,5,5,5,1,1,1,2025/03/10 14:52:21,Da,4,4,2,4,2,4,2,4,5,1,1,4,5,2,3,2,5,3,4,5,4,2,3,2,2,3,3,4,3,4,2,3,3,3,2,2,2,2,1,1,2,2,4,2,3,1,1,1,2,4,2,3,4,4,3,3,3,2,4,3,7,7,6,6,6,5,5,6,5,4,6,5,6,5,3,5,4,3,7,6,4,5,6,4.392857143,3,3,1,0,0,2,9,4.5,2.875,3.3,1.105263158,3,2.666666667,5.666666667,1.866666667,2.166666667,1.608695652
"Nu, este prima mea experien?? cu statistica",7,9,Altul,Lucrez într-un alt domeniu,2,5,"Nu, sigur nu",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Suport suplimentar din partea profesorului,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",1,1,"Da, dar doar ocazional",Prin colaborare în grupuri de lucru,1,Teste gril?,2,Nu am folosit niciodat? R/Rstudio,"Da, suport din partea profesorului",2025/03/07 12:27:56,Da,CE3,1,6,2,1,5,5,1,4,5,3,6,1,1,1,2,1,2,5,6,1,6,3,1,6,3,4,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,5,5,5,3,2,5,5,4,5,4,1,1,1,2025/03/10 14:26:40,Da,4,5,5,5,4,4,1,3,5,1,5,2,5,1,1,2,1,1,5,4,1,1,2,1,4,3,1,5,4,6,1,2,3,5,5,5,5,5,5,3,2,1,5,5,4,3,5,5,2,5,3,2,1,5,3,5,3,5,3,3,6,7,7,5,2,5,5,4,5,4,6,4,3,6,5,7,7,7,1,5,5,2,7,3.178571429,3,4,1,0,1,0,9,4.375,2.625,3.8,0.789473684,2.333333333,2,4.333333333,4.266666667,1.5,1.47826087
"Nu, este prima mea experien?? cu statistica",8,7,?tiin?e ale naturii,Lucrez într-un alt domeniu,3,4,"Nu, sigur nu",Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,3,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 12:50:06,Da,CE3,3,6,2,3,1,5,2,2,2,2,1,2,3,2,4,3,5,7,3,4,4,6,5,4,5,4,4,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,5,5,5,4,3,4,5,5,5,4,2,2,2,2025/03/10 14:14:31,Da,3,4,3,4,2,4,5,3,5,1,2,4,5,2,2,3,2,2,2,5,5,4,4,2,5,5,2,5,3,2,1,1,2,2,4,2,3,3,3,1,2,1,3,2,3,1,3,3,3,2,3,3,3,3,4,2,4,3,4,3,6,6,7,7,4,2,5,5,6,4,5,7,6,5,6,6,6,7,6,3,6,6,6,4,3,4,1,1,0,0,9,4.5,3.25,3.5,1.052631579,4,2,6,2.333333333,2.083333333,1.565217391
"Da, dar doar elemente de baz?",5,8,Altul,Lucrez într-un alt domeniu,3,3,"Poate, dac? mi se pare util",Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin exemple practice,4,Teste gril?,3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 12:38:02,Da,CE3,4,5,3,3,3,4,4,2,2,3,3,5,3,4,2,3,4,3,4,3,5,5,5,3,6,3,4,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,5,5,5,4,4,5,4,3,3,4,2,2,2,2025/03/10 14:22:19,Da,4,2,3,3,4,4,2,4,5,1,1,5,5,3,2,2,3,3,3,5,3,4,3,3,4,4,3,6,1,1,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,2,3,3,1,3,5,2,2,5,5,5,5,1,3,4,5,6,7,7,5,7,7,4,4,4,6,4,4,7,5,7,4,5,7,2,5,5,7,4.428571429,3,4,1,0,1,1,9,4.625,2.625,2.9,1.157894737,5.333333333,3,8.333333333,1.333333333,1.083333333,1.608695652
"Da, dar doar elemente de baz?",9,9,Matematic?-informatic?,Lucrez într-un alt domeniu,3,1,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Proiecte practice,4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 23:05:52,Da,CE3,7,1,2,6,1,1,6,1,1,3,1,4,1,7,2,1,5,1,4,1,4,7,7,1,5,1,6,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,4,5,3,3,5,5,5,5,4,3,5,5,3,2025/03/10 14:31:14,Da,4,3,3,4,4,3,5,4,5,1,3,3,5,3,3,4,4,4,3,5,1,1,3,1,4,4,3,5,4,5,4,3,4,3,5,4,4,3,4,1,2,1,4,4,3,2,5,5,2,2,3,4,4,5,5,4,3,2,4,2,7,6,5,6,5,2,5,5,6,4,6,5,5,6,5,6,5,6,5,6,6,7,7,5.75,2,4,1,1,0,1,9,4.375,4.25,3.9,0.947368421,2.666666667,3,5.666666667,3.266666667,2.166666667,1.52173913
"Da, dar doar elemente de baz?",7,10,Matematic?-informatic?,Nu lucrez în prezent,5,4,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Eseuri/sarcini scrise,4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, tutoriale video",2025/03/07 13:49:50,Da,CE3,7,1,1,7,1,3,7,1,1,1,1,7,1,7,1,1,7,1,1,1,2,7,7,1,5,2,4,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2025/03/10 19:35:18,Da,5,4,5,5,4,4,5,3,5,1,1,5,5,5,5,4,5,4,2,5,5,4,5,4,5,5,4,6,5,6,2,1,5,4,3,3,4,3,4,2,2,3,4,4,4,2,4,5,3,4,2,3,4,2,4,3,2,4,4,3,6,6,7,7,7,5,7,4,7,4,6,6,5,3,6,5,6,7,7,6,6,6,7,6.178571429,3,3,1,0,1,1,9,5,5,4.2,1.157894737,2.333333333,1.333333333,3.666666667,3.4,2.333333333,1.652173913
"Da, dar doar elemente de baz?",8,9,Matematic?-informatic?,Lucrez deja în analiza datelor,4,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",4,4,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, tutoriale video",2025/03/07 14:46:20,Da,CE3,5,3,2,4,2,3,5,3,2,3,3,3,3,4,5,4,4,2,4,2,4,6,6,2,4,3,4,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,2,1,5,5,5,5,2,2,2,2,2025/03/10 14:23:49,Da,3,4,4,3,3,4,3,4,4,1,2,4,5,3,3,3,4,4,3,5,2,5,3,3,4,4,3,4,5,4,4,1,3,1,1,1,1,1,2,4,2,2,1,2,2,3,1,3,3,3,2,3,4,5,4,2,1,4,4,2,6,6,7,7,5,5,5,6,6,4,6,6,3,6,5,5,6,5,6,5,5,6,7,4.857142857,3,3,1,0,1,2,9,4.125,3,3.5,1,2.333333333,2.666666667,5,1.866666667,2.583333333,1.652173913
"Da, dar doar elemente de baz?",10,10,Matematic?-informatic?,Nu lucrez în prezent,3,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, suport din partea profesorului",2025/03/07 12:38:33,Da,CE3,4,2,2,3,1,2,4,4,5,1,4,2,1,2,7,3,3,3,5,1,2,7,7,3,4,2,6,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2025/03/10 15:07:54,Da,3,3,4,5,3,4,3,1,4,1,2,4,4,3,3,4,4,5,2,5,5,5,5,5,5,4,4,6,1,6,1,1,2,5,4,2,3,2,3,2,2,3,3,3,3,3,2,4,2,4,1,3,5,5,4,1,1,4,3,1,7,7,7,7,5,4,7,7,7,4,7,7,5,7,5,7,7,7,7,5,7,7,2,4.607142857,3,3,0,1,0,2,9,5,5,3.4,1,3.666666667,2,5.666666667,2.866666667,2.75,1.739130435
"Da, într-un curs avansat",5,5,Matematic?-informatic?,Nu lucrez în prezent,2,2,"Poate, dac? mi se pare util",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Tutoriale video,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin tutoriale video,2,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video",2025/03/07 12:37:39,Da,CE3,3,5,4,5,1,4,6,5,1,1,2,4,2,5,6,3,5,2,6,1,5,6,5,2,4,4,3,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,3,3,2,2025/03/10 16:48:44,Da,5,2,5,4,5,1,4,1,5,1,3,3,4,4,4,4,4,3,5,2,1,4,5,2,4,4,4,5,5,6,5,5,5,3,3,1,5,1,1,3,2,1,4,4,2,3,5,5,2,4,2,3,2,4,2,4,3,5,3,4,7,5,7,5,3,6,7,7,3,4,6,4,4,7,5,7,6,6,5,7,5,5,7,4.678571429,3,3,1,0,1,1,9,5,3.5,3.5,0.947368421,2,3.666666667,5.666666667,2.8,1.75,1.47826087
"Da, într-un curs avansat",6,10,?tiin?e ale naturii,Nu lucrez în prezent,4,3,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Teste gril?,4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, tutoriale video",2025/03/07 12:31:12,Da,CE3,7,2,1,3,1,2,7,1,1,1,1,6,1,7,1,4,4,1,2,1,5,7,7,1,5,2,2,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,3,5,5,4,3,5,5,5,5,4,3,5,5,2025/03/10 15:01:11,Da,5,2,5,4,5,5,5,5,5,1,1,5,5,5,5,5,5,5,2,4,3,2,5,4,3,5,5,6,6,4,3,2,5,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,3,5,3,4,4,5,4,3,3,2,3,2,7,6,7,7,5,6,7,7,6,4,6,7,6,6,7,7,7,2,7,3,7,7,7,6.142857143,0,2,1,0,1,1,9,4.375,4.375,4.5,1.157894737,2.666666667,2,4.666666667,1.266666667,2.25,1.695652174
"Da, dar doar elemente de baz?",7,9,Matematic?-informatic?,Lucrez într-un alt domeniu,3,2,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",4,4,"Da, dar doar ocazional",Prin exemple practice,5,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 12:19:11,Da,CE3,5,3,2,5,1,4,5,1,2,1,1,6,2,4,2,2,5,1,1,1,4,6,6,1,5,2,3,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,4,5,4,3,4,4,5,5,5,4,4,4,3,2025/03/10 14:13:51,Da,4,4,5,2,4,3,1,5,4,1,2,4,5,3,4,3,4,3,3,5,3,5,4,3,4,4,5,4,4,3,3,2,3,4,4,3,4,2,3,5,2,1,4,4,4,3,4,5,2,1,3,2,1,4,4,4,3,3,3,4,4,5,3,7,2,4,1,5,4,4,4,6,4,4,2,5,5,7,2,3,5,4,7,5.5,3,3,1,0,0,2,8,4.25,4.125,3.6,1,3,2.666666667,5.666666667,3.533333333,1.5,1.217391304
"Nu, este prima mea experien?? cu statistica",7,6,Matematic?-informatic?,Lucrez într-un alt domeniu,4,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Suport suplimentar din partea profesorului,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",3,3,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 12:33:59,Da,CE3,3,6,1,1,1,7,7,4,1,4,2,6,4,2,5,4,7,1,5,7,7,5,4,3,7,7,4,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,5,5,3,4,1,5,4,4,1,4,1,5,1,2025/03/10 16:42:15,Da,1,1,5,4,5,5,4,3,4,1,2,5,5,3,2,3,3,2,4,4,1,4,1,1,3,5,2,4,6,6,4,1,1,1,3,3,5,2,5,5,2,5,5,5,3,1,2,5,1,4,3,5,4,2,2,2,1,2,5,1,5,7,7,5,7,4,7,7,7,4,7,7,4,6,7,7,7,7,5,2,7,4,5,3.75,0,1,1,1,1,1,7,4,2.375,3.8,1.052631579,1.333333333,3.333333333,4.666666667,3.666666667,2.666666667,1.652173913
"Da, într-un curs avansat",7,8,Matematic?-informatic?,Lucrez într-un alt domeniu,3,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Tutoriale video,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",4,4,"Da, dar doar ocazional",Prin tutoriale video,3,Eseuri/sarcini scrise,3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video",2025/03/07 12:32:22,Da,CE3,4,3,4,4,1,7,7,3,3,2,1,5,6,4,3,1,7,4,4,7,7,5,4,2,7,4,7,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,5,5,5,4,4,5,5,4,5,5,3,5,3,2025/03/10 15:05:47,Da,3,1,3,1,2,3,3,1,5,1,1,4,5,3,3,3,3,3,3,5,2,2,5,2,5,4,5,3,4,4,5,1,6,3,3,3,3,3,3,3,2,3,4,3,3,3,3,5,1,1,1,1,1,3,5,1,1,5,5,5,5,4,7,7,4,4,7,5,7,4,7,7,7,5,7,7,7,7,1,4,4,7,7,3.857142857,3,4,1,1,0,1,9,4.75,4,2.4,1.105263158,2.333333333,2,4.333333333,3.2,2,1.47826087
"Da, dar doar elemente de baz?",6,5,Matematic?-informatic?,Lucrez într-un alt domeniu,2,3,Nu cred,Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Deloc, m? simt confortabil s? înv?? pe cont propriu",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin exemple practice,5,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas",2025/03/07 13:01:13,Da,CE3,4,5,2,4,1,3,2,4,2,1,2,1,2,5,4,3,5,5,2,2,2,6,6,5,6,3,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,4,5,5,5,4,4,3,3,3,2025/03/10 21:31:12,Da,5,5,5,5,5,5,5,5,5,1,1,5,5,4,4,4,4,4,1,5,2,3,5,3,5,5,5,6,5,3,6,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,3,4,5,3,1,1,3,5,1,7,7,6,5,7,5,7,5,7,4,7,7,6,6,7,7,6,5,7,5,7,7,7,4.535714286,3,4,1,0,0,2,9,4.625,3.5,5,1.157894737,3.333333333,3.333333333,6.666666667,1,2.833333333,1.695652174
"Da, dar doar elemente de baz?",6,8,Altul,Lucrez într-un alt domeniu,4,3,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",Mai pu?in de 2 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin exemple practice,3,Teste gril?,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video",2025/03/07 22:19:19,Da,CE3,5,2,2,2,1,2,7,1,1,2,1,4,1,3,2,1,7,1,2,1,3,5,5,2,3,2,7,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,4,3,2,2,3,4,5,5,5,5,4,3,3,2025/03/10 15:53:56,Da,3,3,2,2,5,4,4,5,5,3,2,2,4,4,5,4,5,5,3,5,5,5,4,4,3,4,5,4,4,3,1,1,6,2,3,4,5,5,5,1,2,5,5,4,5,1,4,5,4,5,1,5,5,4,5,3,1,5,5,3,7,5,7,7,7,4,5,5,7,4,7,7,7,7,7,7,6,7,7,7,7,7,7,5.142857143,3,4,1,1,0,0,9,3.375,4.25,3.5,0.842105263,3,0.666666667,3.666666667,3.666666667,2.916666667,1.608695652
"Da, dar doar elemente de baz?",7,10,Matematic?-informatic?,Lucrez într-un alt domeniu,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Suport suplimentar din partea profesorului,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Proiecte practice,3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, suport din partea profesorului",2025/03/07 12:22:02,Da,CE3,5,2,2,4,1,4,7,1,1,1,1,6,1,7,1,2,6,1,2,1,4,7,6,1,6,2,4,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,2,2,2025/03/10 18:37:28,Da,1,1,1,1,1,2,1,2,5,1,1,5,4,5,4,5,5,5,2,5,3,2,4,2,4,5,4,6,5,6,1,2,1,1,2,1,3,2,2,3,2,4,3,2,2,3,1,4,4,5,1,5,5,4,3,1,1,2,5,1,7,5,6,6,6,5,6,5,6,4,3,5,5,7,6,7,6,4,7,3,6,6,7,5.714285714,3,4,1,0,0,1,9,5,3.625,1.4,1.157894737,2.333333333,2.666666667,5,2.266666667,3.25,1.52173913
"Da, dar doar elemente de baz?",7,7,Matematic?-informatic?,Lucrez într-un alt domeniu,3,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Proiecte practice,2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Nu, m? descurc s? înv?? singur(?)",2025/03/07 21:35:11,Da,CE3,5,5,2,2,3,6,3,2,5,2,3,2,5,2,2,3,6,3,7,5,4,5,4,4,4,5,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,3,3,2,5,4,4,3,3,3,2,2025/03/10 14:28:07,Da,2,1,5,3,5,5,2,2,4,1,4,4,5,3,3,3,3,2,2,5,2,4,3,1,5,5,4,5,2,5,1,1,5,2,3,2,5,2,2,5,2,4,5,4,2,2,5,5,2,1,3,4,4,2,2,1,1,5,3,1,6,5,6,4,4,2,4,5,4,4,5,3,3,5,3,5,7,6,2,2,5,3,4,3.75,3,3,1,0,1,2,9,3.75,3.125,3.4,0.894736842,3.333333333,1,4.333333333,3.466666667,2.583333333,1.347826087
