Ai studiat anterior no?iuni de statistic? sau analiz? a datelor?,Ce not? ai ob?inut la cursul de Probabilit??i ?i Statistic? Matematic? (anul 1)?,Ce not? ai ob?inut la cursul de Statistic? Economic? (anul 2)?,Ce profil ai avut în liceu?,În prezent:,Cum apreciezi nivelul t?u actual de interes fa?? de analiza datelor?,Cât de dificil crezi c? va fi acest curs?,Ai inten?ia s? studiezi mai departe analiza datelor dup? acest curs?,?i-ar pl?cea s? lucrezi în domeniul statisticii sau analizei datelor dup? terminarea studiilor?,Cât timp ai disponibil pe s?pt?mân? pentru a studia acest curs?,Ce te motiveaz? s? participi la acest curs? ,"Cum consideri c? ai nevoie de suport suplimentar pentru a în?elege conceptele statistice?
(Exemple de ajutor suplimentar: explica?ii suplimentare din partea profesorului, resurse online, exemple practice, tutoriale video, ?edin?e de clarificare etc.)",Ce tip de resurse ?i-ar fi cele mai utile pentru a înv??a statistica?,Care este principalul t?u obiectiv legat de acest curs?,Cuno?ti deja profesorul/profesorii acestui curs dintr-o experien?? anterioar??,"Dac? ai avut cursuri cu profesorul/profesorii, cum ai descrie experien?a anterioar??",Cât de confortabil te sim?i s? interac?ionezi cu profesorul/profesorii acestui curs?,"Pân? acum, ai adresat vreodat? întreb?ri sau ai cerut clarific?ri profesorilor de statistic??",Cum preferi s? înve?i?,Cum ?i-ai descrie nivelul de confort în a lucra cu date ?i cifre?,Ce metode de evaluare preferi?,Cum preferi s? fie structurate cursurile?,Care consideri c? va fi cea mai mare provocare pentru tine în acest curs?,Ai folosit vreodat? R sau RStudio pentru analiza datelor?,În ce m?sur? te sim?i confortabil lucrând cu R/RStudio?,Care este nivelul t?u de experien?? în utilizarea R/RStudio?,Ai nevoie de resurse suplimentare pentru a înv??a s? folose?ti R/RStudio?
"Da, dar doar elemente de baz?",6,6,Matematic?-informatic?,Lucrez într-un alt domeniu,2,4,"Nu, sigur nu",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Probleme rezolvate pas cu pas,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,Cursuri bazate pe studii de caz ?i aplica?ii,În?elegerea conceptelor teoretice,"Nu, ?i nu sunt sigur(?) dac? am nevoie",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Nu, m? descurc s? înv?? singur(?)"
"Da, într-un curs avansat",7,9,Matematic?-informatic?,Lucrez într-un alt domeniu,4,3,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,Un mix echilibrat între teorie ?i practic?,Gestionarea timpului pentru a studia eficient,"Nu, dar sunt dispus(?) s? înv??",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",5,8,Filologie,Nu lucrez în prezent,3,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin exemple practice,2,Teste gril?,Un mix echilibrat între teorie ?i practic?,Aplicarea statisticii în probleme reale,"Da, am experien?? de baz?",3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",10,10,Matematic?-informatic?,Nu lucrez în prezent,3,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,Cursuri bazate pe studii de caz ?i aplica?ii,În?elegerea conceptelor teoretice,"Da, am experien?? de baz?",3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, suport din partea profesorului"
"Da, dar doar elemente de baz?",6,6,Altul,Lucrez într-un alt domeniu,3,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin rezolvarea de probleme,4,Proiecte practice,Un mix echilibrat între teorie ?i practic?,În?elegerea conceptelor teoretice,"Da, am experien?? de baz?",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",5,5,Altul,Nu lucrez în prezent,3,5,"Nu, sigur nu",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Foarte mult, m? simt cople?it(?) ?i a? avea nevoie de suport constant pentru a în?elege materialul",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",4,4,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Proiecte practice,Lec?ii teoretice urmate de exemple practice,Aplicarea statisticii în probleme reale,"Da, am experien?? de baz?",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",7,8,Matematic?-informatic?,Nu lucrez în prezent,3,5,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin rezolvarea de probleme,4,Teste gril?,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Nu, dar sunt dispus(?) s? înv??",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, suport din partea profesorului"
"Nu, este prima mea experien?? cu statistica",7,6,Matematic?-informatic?,Nu lucrez în prezent,3,2,"Poate, dac? mi se pare util",Nu cred c? m? intereseaz?,2-4 ore,Îmi place analiza datelor,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Proiecte practice,Un mix echilibrat între teorie ?i practic?,Aplicarea statisticii în probleme reale,"Da, am experien?? de baz?",4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, exemple practice pas cu pas"
"Nu, este prima mea experien?? cu statistica",6,5,Matematic?-informatic?,Lucrez într-un alt domeniu,1,3,"Nu, sigur nu",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Deloc, m? simt confortabil s? înv?? pe cont propriu",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Proiecte practice,Lec?ii teoretice urmate de exemple practice,În?elegerea conceptelor teoretice,"Da, am experien?? de baz?",4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)"
"Da, într-un curs avansat",5,5,Matematic?-informatic?,Nu lucrez în prezent,2,2,"Poate, dac? mi se pare util",Nu cred c? m? intereseaz?,Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Tutoriale video,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin tutoriale video,2,Teste gril?,Lec?ii teoretice urmate de exemple practice,Lucrul cu software statistic,"Nu, ?i nu sunt sigur(?) dac? am nevoie",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video"
"Da, dar doar elemente de baz?",5,8,Matematic?-informatic?,Lucrez deja în analiza datelor,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Teste gril?,Lec?ii teoretice urmate de exemple practice,Gestionarea timpului pentru a studia eficient,"Da, am experien?? de baz?",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video"
"Da, într-un curs avansat",6,7,Filologie,Lucrez într-un alt domeniu,5,5,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Exemple practice ?i studii de caz,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Teste gril?,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Nu, dar sunt dispus(?) s? înv??",3,Nu am folosit niciodat? R/Rstudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",7,10,Matematic?-informatic?,Lucrez într-un alt domeniu,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Suport suplimentar din partea profesorului,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,4,Proiecte practice,Lec?ii teoretice urmate de exemple practice,În?elegerea conceptelor teoretice,"Da, am experien?? de baz?",3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, suport din partea profesorului"
"Da, într-un curs avansat",6,10,?tiin?e ale naturii,Nu lucrez în prezent,4,3,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,5,Teste gril?,Lec?ii teoretice urmate de exemple practice,În?elegerea conceptelor teoretice,"Da, am experien?? de baz?",4,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, tutoriale video"
"Da, într-un curs avansat",9,9,Matematic?-informatic?,Nu lucrez în prezent,4,5,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Este parte din programul meu de studii,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Probleme rezolvate pas cu pas,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Da, am experien?? de baz?",3,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video"
"Nu, este prima mea experien?? cu statistica",7,10,Matematic?-informatic?,Nu lucrez în prezent,5,3,"Da, sunt foarte interesat","Da, este una dintre op?iunile mele principale",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? aplic statistica în domeniul meu,"Nu, este prima dat? când interac?ionez cu acest profesor/acest? echip?",3,4,"Da, dar doar ocazional",Prin exemple practice,3,Teste gril?,Lec?ii teoretice urmate de exemple practice,Aplicarea statisticii în probleme reale,"Nu, dar sunt dispus(?) s? înv??",1,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Nu, este prima mea experien?? cu statistica",8,7,?tiin?e ale naturii,Lucrez într-un alt domeniu,3,4,"Nu, sigur nu",Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,3,Teste gril?,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Da, am experien?? de baz?",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",6,5,Matematic?-informatic?,Lucrez într-un alt domeniu,2,3,Nu cred,Nu cred c? m? intereseaz?,2-4 ore,Este parte din programul meu de studii,"Deloc, m? simt confortabil s? înv?? pe cont propriu",Exemple practice ?i studii de caz,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Nu, dar a? vrea s? m? simt mai încrez?tor în a face asta",Prin exemple practice,5,Teste gril?,Cursuri bazate pe studii de caz ?i aplica?ii,În?elegerea conceptelor teoretice,"Da, am experien?? de baz?",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Nu, este prima mea experien?? cu statistica",8,7,Altul,Nu lucrez în prezent,4,5,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Este parte din programul meu de studii,"Mult, am nevoie de mai multe explica?ii ?i resurse suplimentare pentru a în?elege conceptele",Tutoriale video,S? în?eleg conceptele fundamentale,"Da, am mai avut cursuri împreun?",5,5,"Da, în mod frecvent",Prin tutoriale video,2,Teste gril?,Lec?ii teoretice urmate de exemple practice,Lucrul cu software statistic,"Da, am experien?? de baz?",1,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, tutoriale video"
"Da, dar doar elemente de baz?",8,9,Matematic?-informatic?,Lucrez deja în analiza datelor,4,3,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",2-4 ore,Îmi place analiza datelor,"Moderat, cred c? uneori ar fi util ajutor suplimentar",Exemple practice ?i studii de caz,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",4,4,"Da, dar doar ocazional",Prin exemple practice,4,Teste gril?,Un mix echilibrat între teorie ?i practic?,Gestionarea timpului pentru a studia eficient,"Da, am experien?? de baz?",3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Da, tutoriale video"
"Da, într-un curs avansat",10,10,Altul,Lucrez într-un alt domeniu,4,2,"Poate, dac? mi se pare util","Da, este una dintre op?iunile mele principale",2-4 ore,Vreau s? îmi dezvolt abilit??i analitice,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Probleme rezolvate pas cu pas,S? îmi îmbun?t??esc abilit??ile analitice,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin rezolvarea de probleme,5,Teste gril?,Un mix echilibrat între teorie ?i practic?,Lucrul cu software statistic,"Da, am experien?? de baz?",2,Încep?tor – abia am început s? înv?? cum s? folosesc R/RStudio,"Da, exemple practice pas cu pas"
"Da, dar doar elemente de baz?",7,7,Matematic?-informatic?,Lucrez într-un alt domeniu,4,4,"Poate, dac? mi se pare util","Poate, dar nu sunt sigur",Mai pu?in de 2 ore,Îmi place analiza datelor,"Pu?in, doar ocazional am nevoie de ajutor suplimentar",Exemple practice ?i studii de caz,S? aplic statistica în domeniul meu,"Da, am mai avut cursuri împreun?",5,5,"Da, dar doar ocazional",Prin exemple practice,4,Proiecte practice,Cursuri bazate pe studii de caz ?i aplica?ii,În?elegerea conceptelor teoretice,"Da, am experien?? de baz?",3,Intermediar – pot s? folosesc R/RStudio pentru analize de baz?,"Nu, m? descurc s? înv?? singur(?)"
